aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
138,0,60679,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GqXTjXiMb,NULL,2022-07-11 09:58:13,NULL
139,0,60680,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GNxw7UUoQ,NULL,2022-07-11 09:58:13,NULL
140,0,60681,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GzoHoGAY2,NULL,2022-07-11 09:58:13,NULL
141,0,60682,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gf4PXMra0,NULL,2022-07-11 09:58:13,NULL
142,0,60683,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GgDWZHz0U,NULL,2022-07-11 09:58:13,NULL
143,0,60684,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GZRZi09VQ,NULL,2022-07-11 09:58:13,NULL
144,0,60685,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GsYoBdfgT,NULL,2022-07-11 09:58:13,NULL
145,0,60686,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gny5fyIOr,NULL,2022-07-11 09:58:13,NULL
146,0,60687,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GDJ14a8c1,NULL,2022-07-11 09:58:13,NULL
147,0,60688,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GxFriGrFB,NULL,2022-07-11 09:58:13,NULL
148,0,60689,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G5ZwXv6Q7,NULL,2022-07-11 09:58:13,NULL
149,0,60690,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvPJmOrLZ,NULL,2022-07-11 09:58:13,NULL
150,0,60691,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GjepvzTD7,NULL,2022-07-11 09:58:13,NULL
151,0,60692,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G0agPDtFl,NULL,2022-07-11 09:58:13,NULL
152,0,60693,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GP8c3AmNC,NULL,2022-07-11 09:58:13,NULL
153,0,60694,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GweyiXanQ,NULL,2022-07-11 09:58:13,NULL
154,0,60695,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gmx2j3hy6,NULL,2022-07-11 09:58:13,NULL
155,0,60696,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GJIgJRb7k,NULL,2022-07-11 09:58:13,NULL
156,0,60697,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G4EVIZzfE,NULL,2022-07-11 09:58:13,NULL
157,0,60698,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GYeLo2kmt,NULL,2022-07-11 09:58:13,NULL
158,0,60699,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GrfE1gsQN,NULL,2022-07-11 09:58:13,NULL
159,0,60700,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G0Fmm50Ui,NULL,2022-07-11 09:58:13,NULL
160,0,60701,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GeOOMGDGc,NULL,2022-07-11 09:58:13,NULL
161,0,60702,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G9GzxOaYu,NULL,2022-07-11 09:58:13,NULL
162,0,60703,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gg9aeDGlo,NULL,2022-07-11 09:58:13,NULL
163,0,60704,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GFtOZIVLe,NULL,2022-07-11 09:58:13,NULL
164,0,60705,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GmxnBaOzA,NULL,2022-07-11 10:09:38,NULL
