cvterm_relationship_id,type_id,subject_id,object_id
22387,1210,8165,4030
22388,1220,8165,6020
8160,1200,8170,2100
8162,1210,8170,4040
8164,1220,8170,6040
8174,1220,8180,1904
8170,1200,8180,2110
8172,1210,8180,4030
8695,1200,8185,2100
8696,1210,8185,4030
8697,1220,8185,6020
19312,1200,8186,2110
19313,1210,8186,4030
19314,1220,8186,6030
8861,1200,8189,2110
8862,1210,8189,4030
8863,1220,8189,6016
8184,1220,8190,1903
8180,1200,8190,2110
8182,1210,8190,4030
8646,1200,8191,2270
8647,1210,8191,4110
8648,1220,8191,6041
8652,1200,8192,2280
8653,1210,8192,4110
8654,1220,8192,6042
8658,1200,8193,2285
8659,1210,8193,4110
8660,1220,8193,6020
8664,1200,8194,2260
8665,1210,8194,4110
8666,1220,8194,6086
8171,1200,8195,2110
8173,1210,8195,4030
8175,1220,8195,25713
8591,1200,8196,2110
8592,1210,8196,4030
8593,1220,8196,6020
8190,1200,8200,2120
8192,1210,8200,4040
8194,1220,8200,6040
22396,1200,8201,2120
22397,1210,8201,4030
22398,1220,8201,6020
22417,1210,8205,4040
22418,1220,8205,6040
22416,1200,8205,8202
22420,1210,8206,4040
22421,1220,8206,6040
22419,1200,8206,8203
22423,1210,8207,4040
22424,1220,8207,6040
22422,1200,8207,8204
8200,1200,8210,2150
8202,1210,8210,4040
8204,1220,8210,6040
8210,1200,8220,2160
8212,1210,8220,4040
8214,1220,8220,6040
8516,1200,8221,2160
8517,1210,8221,4030
8518,1220,8221,6040
8522,1200,8222,2130
8523,1210,8222,4030
8524,1220,8222,6040
8220,1200,8230,2200
8222,1210,8230,4040
8224,1220,8230,6040
8234,1220,8240,1907
8230,1200,8240,2205
8232,1210,8240,4030
9065,1200,8241,2410
9066,1210,8241,4020
9067,1220,8241,6040
8244,1220,8250,1908
8240,1200,8250,2205
8242,1210,8250,4030
8849,1200,8251,2670
8850,1210,8251,4020
8851,1220,8251,6015
8855,1200,8252,2670
8856,1210,8252,4110
8857,1220,8252,6015
8924,1200,8253,2670
8925,1210,8253,4021
8926,1220,8253,6015
8245,1200,8255,2209
8246,1210,8255,4030
8247,1220,8255,25714
8729,1220,8256,1910
8727,1200,8256,2670
8728,1210,8256,4020
8735,1220,8257,1909
8733,1200,8257,2670
8734,1210,8257,4020
8741,1220,8258,1910
8739,1200,8258,2670
8740,1210,8258,4021
8747,1220,8259,1909
8745,1200,8259,2670
8746,1210,8259,4021
8250,1200,8260,2410
8252,1210,8260,4020
8254,1220,8260,6090
8753,1220,8261,1910
8751,1200,8261,2670
8752,1210,8261,4110
8759,1220,8262,1909
8757,1200,8262,2670
8758,1210,8262,4110
8763,1200,8263,2660
8764,1210,8263,4080
8765,1220,8263,6040
8769,1200,8264,2620
8770,1210,8264,4090
8771,1220,8264,6087
8775,1200,8266,2620
8776,1210,8266,4080
8777,1220,8266,6040
8910,1200,8267,2620
8911,1210,8267,4090
8912,1220,8267,6088
8916,1200,8268,2620
8917,1210,8268,4080
8918,1220,8268,6105
8260,1200,8270,2340
8262,1210,8270,4290
8264,1220,8270,6100
8545,1200,8280,2053
8555,1210,8280,4000
8565,1220,8280,6065
8675,1200,8282,2053
8676,1210,8282,4000
8677,1220,8282,6066
8681,1200,8284,2053
8682,1210,8284,4000
8683,1220,8284,6067
8546,1200,8300,2200
8556,1210,8300,4030
8566,1220,8300,25715
8547,1200,8310,2205
8557,1210,8310,4030
8567,1220,8310,6110
8548,1200,8320,2205
8558,1210,8320,4050
8568,1220,8320,6030
8569,1220,8330,1907
8549,1200,8330,2206
8559,1210,8330,4030
8550,1200,8340,2206
8560,1210,8340,4030
8570,1220,8340,6020
8551,1200,8350,2120
8561,1210,8350,4030
8571,1220,8350,25716
8552,1200,8360,2208
8562,1210,8360,4050
8572,1220,8360,25717
8902,1200,8369,2452
8903,1210,8369,4030
8904,1220,8369,6064
8553,1200,8370,2452
8563,1210,8370,4030
8573,1220,8370,6020
8554,1200,8371,2452
8564,1210,8371,4030
8574,1220,8371,25718
8315,1220,8372,1901
8282,1200,8372,2080
8299,1210,8372,4010
8316,1220,8373,1902
8283,1200,8373,2080
8300,1210,8373,4010
8287,1200,8377,2207
8304,1210,8377,4030
8320,1220,8377,6020
8288,1200,8378,2208
8305,1210,8378,4050
8321,1220,8378,6030
8291,1200,8380,2120
8307,1210,8380,4040
8323,1220,8380,6045
8294,1200,8383,2054
8310,1210,8383,4020
8326,1220,8383,25719
8295,1200,8384,2056
8311,1210,8384,4020
8327,1220,8384,25720
8296,1200,8385,2210
8312,1210,8385,4100
8328,1220,8385,6040
8297,1200,8386,2123
8313,1210,8386,4100
8329,1220,8386,6040
8298,1200,8387,2128
8314,1210,8387,4100
8330,1220,8387,6085
9014,1200,8388,2123
9015,1210,8388,4100
9016,1220,8388,6040
8778,1200,8390,2065
8779,1210,8390,4110
8780,1220,8390,6020
9042,1200,8391,2065
9043,1210,8391,4111
9044,1220,8391,6020
9048,1200,8392,2065
9049,1210,8392,4112
9050,1220,8392,6020
9054,1200,8393,2065
9055,1210,8393,4113
9056,1220,8393,6020
8792,1200,8400,2180
8793,1210,8400,4030
19339,1220,8400,6140
8797,1200,8410,2170
8798,1210,8410,4030
19340,1220,8410,6140
9023,1200,8411,2153
9024,1210,8411,4100
9025,1220,8411,6040
9029,1200,8412,2154
9030,1210,8412,4100
9031,1220,8412,6040
9037,1200,8413,2155
9038,1210,8413,4030
9039,1220,8413,25721
1138,1105,8580,1090
8831,1225,8580,1330
19317,1200,8581,2170
19318,1210,8581,4040
19319,1220,8581,6040
