HH_Id,Info_Src_Name_M,Info_Access_Yn_M,NoInfo_Access_Rsn_M,NoInfo_Access_Rsn_Othr_M,Info_Access_Decision_M
4002,5,1,, ,1
4002,6,3,4, ,
4003,1,1,, ,5
4003,2,1,, ,5
4003,3,1,, ,5
4003,4,3,1, ,
4003,5,2,, ,1
4003,6,2,, ,5
4004,1,2,, ,1
4004,2,3,1, ,
4004,3,2,, ,1
4004,4,3,1, ,
4004,5,3,1, ,
4004,6,3,1, ,
4005,1,1,, ,5
4005,2,1,, ,1
4005,3,1,, ,1
4005,4,3,2, ,
4005,5,3,2, ,
4005,6,3,3, ,
4006,1,1,, ,2
4006,2,1,, ,1
4006,3,1,, ,2
4006,4,3,2, ,
4006,5,3,3, ,
4006,6,3,3, ,
4007,1,1,, ,5
4007,2,3,2, ,
4007,3,2,, ,1
4007,4,3,2, ,
4007,5,2,, ,1
4007,6,1,, ,5
4008,1,2,, ,1
4008,2,3,1, ,
4008,3,2,, ,1
4008,4,3,1, ,
4008,5,3,1, ,
4008,6,3,1, ,
4009,1,1,, ,1
4009,2,2,, ,1
4009,3,1,, ,5
4009,4,3,2, ,
4009,5,3,2, ,
4009,6,3,6, ,
4010,1,2,, ,1
4010,2,3,2, ,
4010,3,3,2, ,
4010,4,3,1, ,
4010,5,3,1, ,
4010,6,3,2, ,
4011,1,2,, ,5
4011,2,3,1, ,
4011,3,3,2, ,
4011,4,3,1, ,
4011,5,3,1, ,
4011,6,3,2, ,
4012,1,1,, ,1
4012,2,3,1, ,
4012,3,1,, ,1
4012,4,3,1, ,
4012,5,3,2, ,
4012,6,2,, ,5
4013,1,1,, ,5
4013,2,1,, ,1
4013,3,1,, ,5
4013,4,3,1, ,
4013,5,3,1, ,
4013,6,2,, ,5
