HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
1529,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1530,1,1,1,0,1,0,1,1,1,0,0,0,1,1
1531,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1533,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1534,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1535,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1536,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1539,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1540,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1542,1,1,1,0,0,0,0,1,1,0,0,0,1,1
1543,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1545,1,0,0,0,0,1,1,1,1,0,1,1,1,1
1546,1,1,1,0,0,0,1,1,1,0,0,1,0,1
1548,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1549,1,0,1,0,1,0,1,0,1,0,1,1,1,1
1551,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1552,1,1,1,0,0,0,0,1,1,0,1,1,1,1
1553,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1554,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1556,1,1,1,0,1,0,1,0,1,0,1,1,1,1
1580,1,0,0,0,1,0,1,1,1,0,0,0,1,1
